raw_comp_writers_text,CLEAN_TEXT,split_phrases,preproc_phrases,PREPROC_OUT,"ner_phrases_pos_(0.25, 0.25)","NER_OUT_pos_(0.25, 0.25)",ner_phrases_drop_(0.25),NER_OUT_drop_(0.25),reference_labels,predicted_labels,all_phrases,edit_distance,bleu_score
Sternell Christopher Johnson/Darius Ramelo Lee,Sternell Christopher Johnson/Darius Ramelo Lee,"['Sternell Christopher Johnson', 'Darius Ramelo Lee']","['Sternell Christopher Johnson', 'Darius Ramelo Lee']",Sternell Christopher Johnson/Darius Ramelo Lee,"['Sternell Christopher Johnson', 'Darius Ramelo Lee']",Sternell Christopher Johnson/Darius Ramelo Lee,"['Sternell Christopher Johnson', 'Darius Ramelo Lee']",Sternell Christopher Johnson/Darius Ramelo Lee,"[1, 1]","[1, 1]","['Sternell Christopher Johnson', 'Darius Ramelo Lee']",0,1.0
Kameron Michael Fair,Kameron Michael Fair,['Kameron Michael Fair'],['Kameron Michael Fair'],Kameron Michael Fair,['Kameron Michael Fair'],Kameron Michael Fair,['Kameron Michael Fair'],Kameron Michael Fair,[1],[1],['Kameron Michael Fair'],0,1.0
Fisenko Maksim Sergeevich,Fisenko Maksim Sergeevich,['Fisenko Maksim Sergeevich'],['Fisenko Maksim Sergeevich'],Fisenko Maksim Sergeevich,['Fisenko Maksim Sergeevich'],Fisenko Maksim Sergeevich,['Fisenko Maksim Sergeevich'],Fisenko Maksim Sergeevich,[1],[1],['Fisenko Maksim Sergeevich'],0,1.0
Kobalt Music,,['Kobalt Music'],['Kobalt'],Kobalt,['Kobalt'],Kobalt,['Kobalt'],Kobalt,[0],[1],['Kobalt'],6,0.0
Saif Musabah Al-Salhi & Jumah Mubarak,Saif Musabah Al-Salhi /Jumah Mubarak,"['Saif Musabah Al-Salhi', 'Jumah Mubarak']","['Saif Musabah Al-Salhi', 'Jumah Mubarak']",Saif Musabah Al-Salhi/Jumah Mubarak,"['Saif Musabah Al-Salhi', 'Jumah Mubarak']",Saif Musabah Al-Salhi/Jumah Mubarak,"['Saif Musabah Al-Salhi', 'Jumah Mubarak']",Saif Musabah Al-Salhi/Jumah Mubarak,"[1, 1]","[1, 1]","['Jumah Mubarak', 'Saif Musabah Al-Salhi']",0,1.0
"Al Muzin,Fayez Al Saed - فايز السعيد",Al Muzin/Fayez Al Saed,"['Al Muzin', 'Fayez Al Saed - فايز السعيد']","['Al Muzin', 'Fayez Al Saed -']",Al Muzin/Fayez Al Saed -,"['Al Muzin', 'Fayez Al Saed -']",Al Muzin/Fayez Al Saed -,"['Al Muzin', 'Fayez Al Saed -']",Al Muzin/Fayez Al Saed -,"[1, 0, 1]","[0, 1, 1]","['Fayez Al Saed', 'Fayez Al Saed -', 'Al Muzin']",2,0.223606797749979
ABKCO Music Inc,ABKCO Music Inc,['ABKCO Music Inc'],['ABKCO Inc'],ABKCO Inc,['ABKCO Inc'],ABKCO Inc,[],,[1],[0],['ABKCO Music Inc'],15,0.0
Brennan Savage,Brennan Savage,['Brennan Savage'],['Brennan Savage'],Brennan Savage,['Brennan Savage'],Brennan Savage,['Brennan Savage'],Brennan Savage,[1],[1],['Brennan Savage'],0,1.0
Lucas Hoge/Corey Lee Barker,Lucas Hoge/Corey Lee Barker,"['Lucas Hoge', 'Corey Lee Barker']","['Lucas Hoge', 'Corey Lee Barker']",Lucas Hoge/Corey Lee Barker,"['Lucas Hoge', 'Corey Lee Barker']",Lucas Hoge/Corey Lee Barker,"['Lucas Hoge', 'Corey Lee Barker']",Lucas Hoge/Corey Lee Barker,"[1, 1]","[1, 1]","['Corey Lee Barker', 'Lucas Hoge']",0,1.0
2Pac/Funky Drummer/Moe Z MD/Larry Blackmon/Tomi Jenkins/Nathan Leftenant/Charlie Singleton,2Pac/Funky Drummer/Moe Z MD/Larry Blackmon/Tomi Jenkins/Nathan Leftenant/Charlie Singleton,"['2Pac', 'Funky Drummer', 'Moe Z MD', 'Larry Blackmon', 'Tomi Jenkins', 'Nathan Leftenant', 'Charlie Singleton']","['2Pac', 'Funky Drummer', 'Moe Z MD', 'Larry Blackmon', 'Tomi Jenkins', 'Nathan Leftenant', 'Charlie Singleton']",2Pac/Funky Drummer/Moe Z MD/Larry Blackmon/Tomi Jenkins/Nathan Leftenant/Charlie Singleton,"['2Pac', 'Funky Drummer', 'Moe Z MD', 'Larry Blackmon', 'Tomi Jenkins', 'Nathan Leftenant', 'Charlie Singleton']",2Pac/Funky Drummer/Moe Z MD/Larry Blackmon/Tomi Jenkins/Nathan Leftenant/Charlie Singleton,"['Moe Z MD', 'Larry Blackmon', 'Tomi Jenkins', 'Nathan Leftenant', 'Charlie Singleton']",Moe Z MD/Larry Blackmon/Tomi Jenkins/Nathan Leftenant/Charlie Singleton,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 1]","['Larry Blackmon', 'Tomi Jenkins', 'Charlie Singleton', 'Funky Drummer', '2Pac', 'Nathan Leftenant', 'Moe Z MD']",19,0.5805141885328181
Faruz Feet,Faruz Feet,['Faruz Feet'],['Faruz Feet'],Faruz Feet,['Faruz Feet'],Faruz Feet,['Faruz Feet'],Faruz Feet,[1],[1],['Faruz Feet'],0,1.0
Hank Devito,Hank Devito,['Hank Devito'],['Hank Devito'],Hank Devito,['Hank Devito'],Hank Devito,['Hank Devito'],Hank Devito,[1],[1],['Hank Devito'],0,1.0
Cooper Jones,Cooper Jones,['Cooper Jones'],['Cooper Jones'],Cooper Jones,['Cooper Jones'],Cooper Jones,['Cooper Jones'],Cooper Jones,[1],[1],['Cooper Jones'],0,1.0
Marco Carnesecchi/Marco Falagiani,Marco Carnesecchi/Marco Falagiani,"['Marco Carnesecchi', 'Marco Falagiani']","['Marco Carnesecchi', 'Marco Falagiani']",Marco Carnesecchi/Marco Falagiani,"['Marco Carnesecchi', 'Marco Falagiani']",Marco Carnesecchi/Marco Falagiani,"['Marco Carnesecchi', 'Marco Falagiani']",Marco Carnesecchi/Marco Falagiani,"[1, 1]","[1, 1]","['Marco Falagiani', 'Marco Carnesecchi']",0,1.0
"<Unknown>/Robinson, Christopher CODY",Robinson/Christopher CODY,"['<Unknown>', 'Robinson', 'Christopher CODY']","['Robinson', 'Christopher CODY']",Robinson/Christopher CODY,"['Robinson', 'Christopher CODY']",Robinson/Christopher CODY,"['Robinson', 'Christopher CODY']",Robinson/Christopher CODY,"[1, 1]","[1, 1]","['Robinson', 'Christopher CODY']",0,1.0
Richard Shephard/Royal School of Church Mus,Richard Shephard/Royal School of Church Mus,"['Richard Shephard', 'Royal School of Church Mus']","['Richard Shephard', 'Royal School of Church Mus']",Richard Shephard/Royal School of Church Mus,"['Richard Shephard', 'Royal School of Church Mus']",Richard Shephard/Royal School of Church Mus,['Richard Shephard'],Richard Shephard,"[1, 1]","[0, 1]","['Royal School of Church Mus', 'Richard Shephard']",27,0.11633369384516798
CA BRUIN JIMMY A JIM/PA THE PARTYLOVERZ DAIM VEGA &,BRUIN JIMMY A JIM/THE PARTYLOVERZ DAIM VEGA &,"['CA BRUIN JIMMY A JIM', 'PA THE PARTYLOVERZ DAIM VEGA']","['BRUIN JIMMY A JIM', 'THE PARTYLOVERZ DAIM VEGA']",BRUIN JIMMY A JIM/THE PARTYLOVERZ DAIM VEGA,"['BRUIN JIMMY A JIM', 'THE PARTYLOVERZ DAIM VEGA']",BRUIN JIMMY A JIM/THE PARTYLOVERZ DAIM VEGA,['BRUIN JIMMY A JIM'],BRUIN JIMMY A JIM,"[1, 1]","[0, 1]","['THE PARTYLOVERZ DAIM VEGA &', 'BRUIN JIMMY A JIM']",28,0.11633369384516798
Rudal,Rudal,['Rudal'],['Rudal'],Rudal,['Rudal'],Rudal,['Rudal'],Rudal,[1],[1],['Rudal'],0,1.0
Kouanvi Kokou,Kouanvi Kokou,['Kouanvi Kokou'],['Kouanvi Kokou'],Kouanvi Kokou,['Kouanvi Kokou'],Kouanvi Kokou,['Kouanvi Kokou'],Kouanvi Kokou,[1],[1],['Kouanvi Kokou'],0,1.0
"<Unknown>/Cox, Anthony",Cox/Anthony,"['<Unknown>', 'Cox', 'Anthony']","['Cox', 'Anthony']",Cox/Anthony,"['Cox', 'Anthony']",Cox/Anthony,"['Cox', 'Anthony']",Cox/Anthony,"[1, 1]","[1, 1]","['Anthony', 'Cox']",0,1.0
Mambo/Hurriganes/Jim Kovalzskij,Mambo/Hurriganes/Jim Kovalzskij,"['Mambo', 'Hurriganes', 'Jim Kovalzskij']","['Mambo', 'Hurriganes', 'Jim Kovalzskij']",Mambo/Hurriganes/Jim Kovalzskij,"['Mambo', 'Hurriganes', 'Jim Kovalzskij']",Mambo/Hurriganes/Jim Kovalzskij,"['Mambo', 'Jim Kovalzskij']",Mambo/Jim Kovalzskij,"[1, 1, 1]","[1, 0, 1]","['Mambo', 'Hurriganes', 'Jim Kovalzskij']",11,0.6065306597126334
Wali Khan/Sawab Jaan,Wali Khan/Sawab Jaan,"['Wali Khan', 'Sawab Jaan']","['Wali Khan', 'Sawab Jaan']",Wali Khan/Sawab Jaan,"['Wali Khan', 'Sawab Jaan']",Wali Khan/Sawab Jaan,"['Wali Khan', 'Sawab Jaan']",Wali Khan/Sawab Jaan,"[1, 1]","[1, 1]","['Sawab Jaan', 'Wali Khan']",0,1.0
James Newton Howard,James Newton Howard,['James Newton Howard'],['James Newton Howard'],James Newton Howard,['James Newton Howard'],James Newton Howard,['James Newton Howard'],James Newton Howard,[1],[1],['James Newton Howard'],0,1.0
"<Unknown>/Harris, David/Qualls, David",Harris/David/Qualls/David,"['<Unknown>', 'Harris', 'David', 'Qualls', 'David']","['Harris', 'David', 'Qualls', 'David']",Harris/David/Qualls/David,"['Harris', 'David', 'Qualls', 'David']",Harris/David/Qualls/David,"['Harris', 'David', 'Qualls', 'David']",Harris/David/Qualls/David,"[1, 1, 1]","[1, 1, 1]","['Qualls', 'Harris', 'David']",0,1.0
代岳东/刘思情@骁Studio/李金爽@骁Studio/闫骁男@骁Studio,,"['代岳东', '刘思情@骁Studio', '李金爽@骁Studio', '闫骁男@骁Studio']","['@Studio', '@Studio', '@Studio']",@Studio/@Studio/@Studio,"['@Studio', '@Studio', '@Studio']",@Studio/@Studio/@Studio,[],,[],[],[],0,0.0
Public Domain,,['Public Domain'],['Public Domain'],Public Domain,['Public Domain'],Public Domain,[],,[],[],[],0,0.0
Chris McQueen/Michael Hawkins/Matthew Donnert/Tyler Robertson/Adam Bixel,Chris McQueen/Michael Hawkins/Matthew Donnert/Tyler Robertson/Adam Bixel,"['Chris McQueen', 'Michael Hawkins', 'Matthew Donnert', 'Tyler Robertson', 'Adam Bixel']","['Chris McQueen', 'Michael Hawkins', 'Matthew Donnert', 'Tyler Robertson', 'Adam Bixel']",Chris McQueen/Michael Hawkins/Matthew Donnert/Tyler Robertson/Adam Bixel,"['Chris McQueen', 'Michael Hawkins', 'Matthew Donnert', 'Tyler Robertson', 'Adam Bixel']",Chris McQueen/Michael Hawkins/Matthew Donnert/Tyler Robertson/Adam Bixel,"['Chris McQueen', 'Michael Hawkins', 'Matthew Donnert', 'Tyler Robertson', 'Adam Bixel']",Chris McQueen/Michael Hawkins/Matthew Donnert/Tyler Robertson/Adam Bixel,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['Matthew Donnert', 'Adam Bixel', 'Michael Hawkins', 'Chris McQueen', 'Tyler Robertson']",0,1.0
Ade May/Jelly Records/Keron Alexander/Andrae Hugh Sutherland,Ade May/Jelly Records/Keron Alexander/Andrae Hugh Sutherland,"['Ade May', 'Jelly Records', 'Keron Alexander', 'Andrae Hugh Sutherland']","['Ade May', 'Jelly', 'Keron Alexander', 'Andrae Hugh Sutherland']",Ade May/Jelly/Keron Alexander/Andrae Hugh Sutherland,"['Ade May', 'Jelly', 'Keron Alexander', 'Andrae Hugh Sutherland']",Ade May/Jelly/Keron Alexander/Andrae Hugh Sutherland,"['Ade May', 'Jelly', 'Keron Alexander', 'Andrae Hugh Sutherland']",Ade May/Jelly/Keron Alexander/Andrae Hugh Sutherland,"[1, 0, 1, 1, 1]","[1, 1, 0, 1, 1]","['Ade May', 'Jelly', 'Jelly Records', 'Andrae Hugh Sutherland', 'Keron Alexander']",20,0.49999999999999994
Matthew C Ziglar,Matthew C Ziglar,['Matthew C Ziglar'],['Matthew C Ziglar'],Matthew C Ziglar,['Matthew C Ziglar'],Matthew C Ziglar,['Matthew C Ziglar'],Matthew C Ziglar,[1],[1],['Matthew C Ziglar'],0,1.0
Huỳnh Anh,,['Huỳnh Anh'],['Hunh Anh'],Hunh Anh,['Hunh Anh'],Hunh Anh,[],,[],[],[],0,0.0
Shizzo,Shizzo,['Shizzo'],['Shizzo'],Shizzo,['Shizzo'],Shizzo,[],,[1],[0],['Shizzo'],6,0.0
Baljeet Singh Chahal,Baljeet Singh Chahal,['Baljeet Singh Chahal'],['Baljeet Singh Chahal'],Baljeet Singh Chahal,['Baljeet Singh Chahal'],Baljeet Singh Chahal,['Baljeet Singh Chahal'],Baljeet Singh Chahal,[1],[1],['Baljeet Singh Chahal'],0,1.0
Thomas Bergersen/Nick Phoenix,Thomas Bergersen/Nick Phoenix,"['Thomas Bergersen', 'Nick Phoenix']","['Thomas Bergersen', 'Nick Phoenix']",Thomas Bergersen/Nick Phoenix,"['Thomas Bergersen', 'Nick Phoenix']",Thomas Bergersen/Nick Phoenix,"['Thomas Bergersen', 'Nick Phoenix']",Thomas Bergersen/Nick Phoenix,"[1, 1]","[1, 1]","['Nick Phoenix', 'Thomas Bergersen']",0,1.0
Lonnie rainey,Lonnie rainey,['Lonnie rainey'],['Lonnie rainey'],Lonnie rainey,['Lonnie rainey'],Lonnie rainey,['Lonnie rainey'],Lonnie rainey,[1],[1],['Lonnie rainey'],0,1.0
Jon Santana/Ash Leone/INFAMOUSIZAK,Jon Santana/Ash Leone/INFAMOUSIZAK,"['Jon Santana', 'Ash Leone', 'INFAMOUSIZAK']","['Jon Santana', 'Ash Leone', 'INFAMOUSIZAK']",Jon Santana/Ash Leone/INFAMOUSIZAK,"['Jon Santana', 'Ash Leone', 'INFAMOUSIZAK']",Jon Santana/Ash Leone/INFAMOUSIZAK,"['Jon Santana', 'Ash Leone', 'INFAMOUSIZAK']",Jon Santana/Ash Leone/INFAMOUSIZAK,"[1, 1, 1]","[1, 1, 1]","['INFAMOUSIZAK', 'Ash Leone', 'Jon Santana']",0,1.0
"<Unknown>/Pack, James",,"['<Unknown>', 'Pack', 'James']","['Pack', 'James']",Pack/James,"['Pack', 'James']",Pack/James,['James'],James,[0],[1],['James'],5,0.0
Ofer Koren & Eyal Talmudi,Ofer Koren/Eyal Talmudi,"['Ofer Koren', 'Eyal Talmudi']","['Ofer Koren', 'Eyal Talmudi']",Ofer Koren/Eyal Talmudi,"['Ofer Koren', 'Eyal Talmudi']",Ofer Koren/Eyal Talmudi,"['Ofer Koren', 'Eyal Talmudi']",Ofer Koren/Eyal Talmudi,"[1, 1]","[1, 1]","['Eyal Talmudi', 'Ofer Koren']",0,1.0
Mark Mothersbaugh,Mark Mothersbaugh,['Mark Mothersbaugh'],['Mark Mothersbaugh'],Mark Mothersbaugh,['Mark Mothersbaugh'],Mark Mothersbaugh,['Mark Mothersbaugh'],Mark Mothersbaugh,[1],[1],['Mark Mothersbaugh'],0,1.0
Malay Mishra & Nirmal Nayak,Malay Mishra/Nirmal Nayak,"['Malay Mishra', 'Nirmal Nayak']","['Malay Mishra', 'Nirmal Nayak']",Malay Mishra/Nirmal Nayak,"['Malay Mishra', 'Nirmal Nayak']",Malay Mishra/Nirmal Nayak,"['Malay Mishra', 'Nirmal Nayak']",Malay Mishra/Nirmal Nayak,"[1, 1]","[1, 1]","['Malay Mishra', 'Nirmal Nayak']",0,1.0
Dusty Hayes/Jima/Jason Grauman/Liz Herrin,Dusty Hayes/Jima/Jason Grauman/Liz Herrin,"['Dusty Hayes', 'Jima', 'Jason Grauman', 'Liz Herrin']","['Dusty Hayes', 'Jima', 'Jason Grauman', 'Liz Herrin']",Dusty Hayes/Jima/Jason Grauman/Liz Herrin,"['Dusty Hayes', 'Jima', 'Jason Grauman', 'Liz Herrin']",Dusty Hayes/Jima/Jason Grauman/Liz Herrin,"['Dusty Hayes', 'Jima', 'Jason Grauman', 'Liz Herrin']",Dusty Hayes/Jima/Jason Grauman/Liz Herrin,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Dusty Hayes', 'Liz Herrin', 'Jima', 'Jason Grauman']",0,1.0
"<Unknown>/Raquil, fabrice hugues",Raquil/fabrice/hugues,"['<Unknown>', 'Raquil', 'fabrice hugues']","['Raquil', 'fabrice hugues']",Raquil/fabrice hugues,"['Raquil', 'fabrice hugues']",Raquil/fabrice hugues,"['Raquil', 'fabrice hugues']",Raquil/fabrice hugues,"[1, 1, 1, 0]","[1, 0, 0, 1]","['Raquil', 'hugues', 'fabrice', 'fabrice hugues']",14,0.13562437855552414
Tagore Suassuna/João Cavalcanti,Tagore Suassuna/João Cavalcanti,"['Tagore Suassuna', 'João Cavalcanti']","['Tagore Suassuna', 'João Cavalcanti']",Tagore Suassuna/João Cavalcanti,"['Tagore Suassuna', 'João Cavalcanti']",Tagore Suassuna/João Cavalcanti,"['Tagore Suassuna', 'João Cavalcanti']",Tagore Suassuna/João Cavalcanti,"[1, 1]","[1, 1]","['Tagore Suassuna', 'João Cavalcanti']",0,1.0
"ZayBang,Lil Bean",ZayBang/Lil Bean,"['ZayBang', 'Lil Bean']","['ZayBang', 'Lil Bean']",ZayBang/Lil Bean,"['ZayBang', 'Lil Bean']",ZayBang/Lil Bean,"['ZayBang', 'Lil Bean']",ZayBang/Lil Bean,"[1, 1]","[1, 1]","['Lil Bean', 'ZayBang']",0,1.0
UnlimitedMusic,,['UnlimitedMusic'],['UnlimitedMusic'],UnlimitedMusic,['UnlimitedMusic'],UnlimitedMusic,[],,[],[],[],0,0.0
"Grant McDowall,Will Heggie,Stuart Everest,Craig Lorentson",Grant McDowall/Will Heggie/Stuart Everest/Craig Lorentson,"['Grant McDowall', 'Will Heggie', 'Stuart Everest', 'Craig Lorentson']","['Grant McDowall', 'Will Heggie', 'Stuart Everest', 'Craig Lorentson']",Grant McDowall/Will Heggie/Stuart Everest/Craig Lorentson,"['Grant McDowall', 'Will Heggie', 'Stuart Everest', 'Craig Lorentson']",Grant McDowall/Will Heggie/Stuart Everest/Craig Lorentson,"['Grant McDowall', 'Will Heggie', 'Stuart Everest', 'Craig Lorentson']",Grant McDowall/Will Heggie/Stuart Everest/Craig Lorentson,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Craig Lorentson', 'Will Heggie', 'Grant McDowall', 'Stuart Everest']",0,1.0
Matt Skiba/Daniel Andriano/Derek Grant,Matt Skiba/Daniel Andriano/Derek Grant,"['Matt Skiba', 'Daniel Andriano', 'Derek Grant']","['Matt Skiba', 'Daniel Andriano', 'Derek Grant']",Matt Skiba/Daniel Andriano/Derek Grant,"['Matt Skiba', 'Daniel Andriano', 'Derek Grant']",Matt Skiba/Daniel Andriano/Derek Grant,"['Matt Skiba', 'Daniel Andriano', 'Derek Grant']",Matt Skiba/Daniel Andriano/Derek Grant,"[1, 1, 1]","[1, 1, 1]","['Derek Grant', 'Daniel Andriano', 'Matt Skiba']",0,1.0
"Beau Holland, Angel Cabrera & Matvei Sikalov",Beau Holland/Angel Cabrera/Matvei Sikalov,"['Beau Holland', 'Angel Cabrera', 'Matvei Sikalov']","['Beau Holland', 'Angel Cabrera', 'Matvei Sikalov']",Beau Holland/Angel Cabrera/Matvei Sikalov,"['Beau Holland', 'Angel Cabrera', 'Matvei Sikalov']",Beau Holland/Angel Cabrera/Matvei Sikalov,"['Beau Holland', 'Angel Cabrera', 'Matvei Sikalov']",Beau Holland/Angel Cabrera/Matvei Sikalov,"[1, 1, 1]","[1, 1, 1]","['Beau Holland', 'Angel Cabrera', 'Matvei Sikalov']",0,1.0
Juan Pablo Canales Sánchez & Alexis Peña,Juan Pablo Canales Sánchez/Alexis Peña,"['Juan Pablo Canales Sánchez', 'Alexis Peña']","['Juan Pablo Canales Sánchez', 'Alexis Peña']",Juan Pablo Canales Sánchez/Alexis Peña,"['Juan Pablo Canales Sánchez', 'Alexis Peña']",Juan Pablo Canales Sánchez/Alexis Peña,"['Juan Pablo Canales Sánchez', 'Alexis Peña']",Juan Pablo Canales Sánchez/Alexis Peña,"[1, 1]","[1, 1]","['Juan Pablo Canales Sánchez', 'Alexis Peña']",0,1.0
Saaren & Ali T,Saaren/Ali T,"['Saaren', 'Ali T']","['Saaren', 'Ali T']",Saaren/Ali T,"['Saaren', 'Ali T']",Saaren/Ali T,"['Saaren', 'Ali T']",Saaren/Ali T,"[1, 1]","[1, 1]","['Ali T', 'Saaren']",0,1.0
Thunderstorms/Lifted Outwards Records,,"['Thunderstorms', 'Lifted Outwards Records']","['Thunderstorms', 'Lifted Outwards']",Thunderstorms/Lifted Outwards,['Thunderstorms'],Thunderstorms,[],,[],[],[],0,0.0
GC/KIZO,GC/KIZO,"['GC', 'KIZO']","['GC', 'KIZO']",GC/KIZO,"['GC', 'KIZO']",GC/KIZO,"['GC', 'KIZO']",GC/KIZO,"[1, 1]","[1, 1]","['KIZO', 'GC']",0,1.0
Niall Stenson,Niall Stenson,['Niall Stenson'],['Niall Stenson'],Niall Stenson,['Niall Stenson'],Niall Stenson,['Niall Stenson'],Niall Stenson,[1],[1],['Niall Stenson'],0,1.0
MIGUEL HERNANDEZ MUÑOZ,MIGUEL HERNANDEZ MUÑOZ,['MIGUEL HERNANDEZ MUÑOZ'],['MIGUEL HERNANDEZ MUÑOZ'],MIGUEL HERNANDEZ MUÑOZ,['MIGUEL HERNANDEZ MUÑOZ'],MIGUEL HERNANDEZ MUÑOZ,['MIGUEL HERNANDEZ MUÑOZ'],MIGUEL HERNANDEZ MUÑOZ,[1],[1],['MIGUEL HERNANDEZ MUÑOZ'],0,1.0
Rashidi Abdallah Makwiro,Rashidi Abdallah Makwiro,['Rashidi Abdallah Makwiro'],['Rashidi Abdallah Makwiro'],Rashidi Abdallah Makwiro,['Rashidi Abdallah Makwiro'],Rashidi Abdallah Makwiro,['Rashidi Abdallah Makwiro'],Rashidi Abdallah Makwiro,[1],[1],['Rashidi Abdallah Makwiro'],0,1.0
Jairo Arturo Rodríguez Cáceres,Jairo Arturo Rodríguez Cáceres,['Jairo Arturo Rodríguez Cáceres'],['Jairo Arturo Rodríguez Cáceres'],Jairo Arturo Rodríguez Cáceres,['Jairo Arturo Rodríguez Cáceres'],Jairo Arturo Rodríguez Cáceres,['Jairo Arturo Rodríguez Cáceres'],Jairo Arturo Rodríguez Cáceres,[1],[1],['Jairo Arturo Rodríguez Cáceres'],0,1.0
Reene,Reene,['Reene'],['Reene'],Reene,['Reene'],Reene,['Reene'],Reene,[1],[1],['Reene'],0,1.0
原 真弓/渡辺俊幸,,"['原 真弓', '渡辺俊幸']",[],,[],,[],,[],[],[],0,0.0
Yojiro Noda,Yojiro Noda,['Yojiro Noda'],['Yojiro Noda'],Yojiro Noda,['Yojiro Noda'],Yojiro Noda,['Yojiro Noda'],Yojiro Noda,[1],[1],['Yojiro Noda'],0,1.0
Gminxr/Gurinder Gill/AP Dhillon,Gminxr/Gurinder Gill/AP Dhillon,"['Gminxr', 'Gurinder Gill', 'AP Dhillon']","['Gminxr', 'Gurinder Gill', 'AP Dhillon']",Gminxr/Gurinder Gill/AP Dhillon,"['Gminxr', 'Gurinder Gill', 'AP Dhillon']",Gminxr/Gurinder Gill/AP Dhillon,"['Gurinder Gill', 'AP Dhillon']",Gurinder Gill/AP Dhillon,"[1, 1, 1]","[0, 1, 1]","['Gminxr', 'AP Dhillon', 'Gurinder Gill']",20,0.19180183554164504
Rookie Allen,,['Rookie Allen'],['Rookie Allen'],Rookie Allen,['Rookie Allen'],Rookie Allen,['Rookie Allen'],Rookie Allen,[0],[1],['Rookie Allen'],12,0.0
Dead Poet & Wildcard,Dead Poet/Wildcard,"['Dead Poet', 'Wildcard']","['Dead Poet', 'Wildcard']",Dead Poet/Wildcard,"['Dead Poet', 'Wildcard']",Dead Poet/Wildcard,[],,"[1, 1]","[0, 0]","['Wildcard', 'Dead Poet']",18,0.0
Xu Wei,Xu Wei,['Xu Wei'],['Xu Wei'],Xu Wei,['Xu Wei'],Xu Wei,['Xu Wei'],Xu Wei,[1],[1],['Xu Wei'],0,1.0
ZUN & CrazyBeats,ZUN/CrazyBeats,"['ZUN', 'CrazyBeats']","['ZUN', 'CrazyBeats']",ZUN/CrazyBeats,"['ZUN', 'CrazyBeats']",ZUN/CrazyBeats,['ZUN'],ZUN,"[1, 1]","[1, 0]","['ZUN', 'CrazyBeats']",11,0.11633369384516798
Mike Mucci,Mike Mucci,['Mike Mucci'],['Mike Mucci'],Mike Mucci,['Mike Mucci'],Mike Mucci,['Mike Mucci'],Mike Mucci,[1],[1],['Mike Mucci'],0,1.0
Chris Alder/Ludwig Hell/Moritz West,Chris Alder/Ludwig Hell/Moritz West,"['Chris Alder', 'Ludwig Hell', 'Moritz West']","['Chris Alder', 'Ludwig Hell', 'Moritz West']",Chris Alder/Ludwig Hell/Moritz West,"['Chris Alder', 'Ludwig Hell', 'Moritz West']",Chris Alder/Ludwig Hell/Moritz West,"['Chris Alder', 'Ludwig Hell', 'Moritz West']",Chris Alder/Ludwig Hell/Moritz West,"[1, 1, 1]","[1, 1, 1]","['Moritz West', 'Chris Alder', 'Ludwig Hell']",0,1.0
"David Ligad Yuhico, Pio Antonio Benitez Dumayas & Raymond Benedict Jovellano King",David Ligad Yuhico/ Pio Antonio Benitez Dumayas/Raymond Benedict Jovellano King,"['David Ligad Yuhico', 'Pio Antonio Benitez Dumayas', 'Raymond Benedict Jovellano King']","['David Ligad Yuhico', 'Pio Antonio Benitez Dumayas', 'Raymond Benedict Jovellano King']",David Ligad Yuhico/Pio Antonio Benitez Dumayas/Raymond Benedict Jovellano King,"['David Ligad Yuhico', 'Pio Antonio Benitez Dumayas', 'Raymond Benedict Jovellano King']",David Ligad Yuhico/Pio Antonio Benitez Dumayas/Raymond Benedict Jovellano King,"['David Ligad Yuhico', 'Pio Antonio Benitez Dumayas', 'Raymond Benedict Jovellano King']",David Ligad Yuhico/Pio Antonio Benitez Dumayas/Raymond Benedict Jovellano King,"[1, 1, 1]","[1, 1, 1]","['Pio Antonio Benitez Dumayas', 'David Ligad Yuhico', 'Raymond Benedict Jovellano King']",0,1.0
Javed Akhtar/Vishal-Shekhar,Javed Akhtar/Vishal-Shekhar,"['Javed Akhtar', 'Vishal-Shekhar']","['Javed Akhtar', 'Vishal-Shekhar']",Javed Akhtar/Vishal-Shekhar,"['Javed Akhtar', 'Vishal-Shekhar']",Javed Akhtar/Vishal-Shekhar,"['Javed Akhtar', 'Vishal-Shekhar']",Javed Akhtar/Vishal-Shekhar,"[1, 1]","[1, 1]","['Javed Akhtar', 'Vishal-Shekhar']",0,1.0
Stas Mikhaylov,Stas Mikhaylov,['Stas Mikhaylov'],['Stas Mikhaylov'],Stas Mikhaylov,['Stas Mikhaylov'],Stas Mikhaylov,['Stas Mikhaylov'],Stas Mikhaylov,[1],[1],['Stas Mikhaylov'],0,1.0
